Nom,Localité,query,lon,lat,latlon
Château d'Ansembourg,Ansembourg,"Château d'Ansembourg, Ansembourg",6.04674779400653,49.70069265,"49.70069265,6.04674779400653"
Nouveau Château d'Ansembourg,Ansembourg,"Nouveau Château d'Ansembourg, Ansembourg",6.04759957386294,49.7008533,"49.7008533,6.04759957386294"
Château d'Aspelt,Aspelt,"Château d'Aspelt, Aspelt",6.2226525964455,49.5248216,"49.5248216,6.2226525964455"
Château de Beaufort,Beaufort,"Château de Beaufort, Beaufort",6.2865176,49.8335306,"49.8335306,6.2865176"
Château de Beggen,Dommeldange,"Château de Beggen, Dommeldange",6.1377647435619,49.64338295,"49.64338295,6.1377647435619"
Château de Colmar-Berg,Colmar-Berg,"Château de Colmar-Berg, Colmar-Berg",6.08794389490417,49.8146867,"49.8146867,6.08794389490417"
Château de Bettange-sur-Mess,Bettange-sur-Mess,"Château de Bettange-sur-Mess, Bettange-sur-Mess",5.9841033,49.5749356,"49.5749356,5.9841033"
Château de Bettembourg,Bettembourg,"Château de Bettembourg, Bettembourg",6.09641390513718,49.5173197,"49.5173197,6.09641390513718"
Château de Bettendorf,Bettendorf,"Château de Bettendorf, Bettendorf",6.22027097982788,49.8760687,"49.8760687,6.22027097982788"
Château Betzdorf,Betzdorf,"Château Betzdorf, Betzdorf",6.330278,49.694167,"49.694167,6.330278"
Château de Born,Born (Luxembourg),"Château de Born, Born (Luxembourg)",6.5125214,49.7611168,"49.7611168,6.5125214"
Château de Bourglinster,Bourglinster,"Château de Bourglinster, Bourglinster",6.21740997690437,49.70256665,"49.70256665,6.21740997690437"
Château de Bourscheid,Bourscheid,"Château de Bourscheid, Bourscheid",6.07950107769784,49.905581,"49.905581,6.07950107769784"
Château de Brandenbourg,Brandenbourg,"Château de Brandenbourg, Brandenbourg",6.13764166375989,49.9127745,"49.9127745,6.13764166375989"
Château de Clemency,Clemency,"Château de Clemency, Clemency",5.874167,49.598056,"49.598056,5.874167"
Château de Clervaux,Clervaux,"Château de Clervaux, Clervaux",6.03028463135369,50.0544533,"50.0544533,6.03028463135369"
Château de Colpach,Colpach-Bas,"Château de Colpach, Colpach-Bas",5.82586812555896,49.75943095,"49.75943095,5.82586812555896"
Château de Differdange,Differdange,"Château de Differdange, Differdange",5.88917535225117,49.52132545,"49.52132545,5.88917535225117"
Château de Dommeldange,Dommeldange,"Château de Dommeldange, Dommeldange",6.1386377,49.6345518,"49.6345518,6.1386377"
Château Dudelange,Dudelange,"Château Dudelange, Dudelange",6.0578438,49.4905049,"49.4905049,6.0578438"
Château d'Erpeldange,Erpeldange,"Château d'Erpeldange, Erpeldange",6.11163732377525,49.8600716,"49.8600716,6.11163732377525"
Château d'Esch-sur-Sûre,Esch-sur-Sûre,"Château d'Esch-sur-Sûre, Esch-sur-Sûre",5.93440053120085,49.9110418,"49.9110418,5.93440053120085"
Château de Fischbach,Fischbach,"Château de Fischbach, Fischbach",6.18681116161273,49.7475976,"49.7475976,6.18681116161273"
Palais grand-ducal,Luxembourg Ville,"Palais grand-ducal, Luxembourg Ville",6.13288873913352,49.61092115,"49.61092115,6.13288873913352"
Château d'Hesperange,Hesperange,"Château d'Hesperange, Hesperange",6.1524302,49.573071,"49.573071,6.1524302"
Château de Hollenfels,Hollenfels,"Château de Hollenfels, Hollenfels",6.05156617599082,49.71207855,"49.71207855,6.05156617599082"
Château de Koerich,Koerich,"Château de Koerich, Koerich",5.9496767,49.6694157,"49.6694157,5.9496767"
Château de Larochette,Larochette,"Château de Larochette, Larochette",6.18888954785334,49.7704143,"49.7704143,6.18888954785334"
Château de Mamer,Mamer,"Château de Mamer, Mamer",6.0232432,49.6262397,"49.6262397,6.0232432"
Château de Mersch,Mersch,"Château de Mersch, Mersch",6.10315847283333,49.7478579,"49.7478579,6.10315847283333"
Château de Meysembourg,Près de la Larochette,"Château de Meysembourg, Près de la Larochette",6.1864882,49.7704348,"49.7704348,6.1864882"
Château de Munsbach,Munsbach,"Château de Munsbach, Munsbach",6.25941956000154,49.6328906,"49.6328906,6.25941956000154"
Château de Pétange,Pétange,"Château de Pétange, Pétange",6.105703,49.7704746,"49.7704746,6.105703"
Château de Sanem,Sanem,"Château de Sanem, Sanem",5.9262570638974,49.54325715,"49.54325715,5.9262570638974"
Château de Schengen,Schengen,"Château de Schengen, Schengen",6.3658507,49.470114,"49.470114,6.3658507"
Château de Schoenfels,Schoenfels,"Château de Schoenfels, Schoenfels",6.09334070925783,49.719675,"49.719675,6.09334070925783"
Château de Schuttbourg,Prés de Kautenbach,"Château de Schuttbourg, Prés de Kautenbach",5.8980951,49.7878706,"49.7878706,5.8980951"
Château de Schauwenburg,Bertrange,"Château de Schauwenburg, Bertrange",6.0478341,49.6110245,"49.6110245,6.0478341"
Château de Senningen,Près de Niederanven,"Château de Senningen, Près de Niederanven",6.2342581,49.6464632,"49.6464632,6.2342581"
Château de Septfontaines,Septfontaines,"Château de Septfontaines, Septfontaines",5.9617443,49.7006292,"49.7006292,5.9617443"
"Septfontaines, Rollingergrund",Luxembourg Ville,"Septfontaines, Rollingergrund, Luxembourg Ville",6.1028634,49.6257147,"49.6257147,6.1028634"
Château de Stadtbredimus,Stadtbredimus,"Château de Stadtbredimus, Stadtbredimus",6.380786,49.556964,"49.556964,6.380786"
Château d' Urspelt,Clervaux,"Château d' Urspelt, Clervaux",6.043375,50.075342,"50.075342,6.043375"
Château d'Useldange,Useldange,"Château d'Useldange, Useldange",5.9803414,49.7682266,"49.7682266,5.9803414"
Château de Vianden,Vianden,"Château de Vianden, Vianden",6.20279648757301,49.9348908,"49.9348908,6.20279648757301"
Château de Walferdange,Walferdange,"Château de Walferdange, Walferdange",6.1337864,49.6604088,"49.6604088,6.1337864"
Château de Wiltz,Wiltz,"Château de Wiltz, Wiltz",5.93854270968922,49.9664662,"49.9664662,5.93854270968922"
Château de Wintrange,Wintrange,"Château de Wintrange, Wintrange",6.3517223,49.5021975,"49.5021975,6.3517223"
