wage,educ,fatheduc,motheduc,inlf,hours,kidslt6,kidsge6,age,huswage,mtr,unem,city,exper
0,8,7,12,0,0,0,3,35,2.7507,0.7815,9.5,1,5
0,12,12,12,0,0,1,2,33,6.6182,0.7215,9.5,1,5
0,13,7,7,0,0,0,0,48,9.2725,0.6915,7.5,0,5
0,12,10,12,0,0,0,0,47,12.287,0.6215,7.5,1,10
0,12,7,7,0,0,0,5,34,2.8549,0.7515,7.5,1,0
0,NA,10,12,0,0,2,1,33,7.9709,0.5215,5,1,4
0,13,16,12,0,0,3,1,31,19.444,0.4415,11,0,3
0,8,7,12,0,0,0,0,58,1.4806,0.7515,7.5,1,2
0,12,7,7,0,0,0,0,49,1.8918,0.7515,3,0,1
0,8,3,7,0,0,0,1,55,6.9215,0.7215,7.5,1,0
0,14,NA,12,0,0,0,0,44,10.692,0.6615,14,1,1
NA,9,7,7,0,0,0,0,44,9.9474,0.6915,11,1,1
0,16,12,7,0,0,0,3,36,19,0.4615,9.5,1,6
0,12,14,NA,0,0,0,3,38,7.4882,0.6615,9.5,1,12
0,16,7,16,0,0,0,3,37,9.259,0.6215,7.5,1,6
0,12,7,12,0,0,0,0,47,11.322,0.6215,5,1,9
0,12,10,12,0,0,0,3,47,6.447,0.7515,7.5,1,14
0,12,7,7,0,0,1,1,32,6.5778,0.7215,9,1,13
0,12,7,12,0,0,1,2,43,6.1,0.7515,7.5,0,8
0,11,10,10,0,0,1,4,42,4.2308,0.7815,3,0,0
0,12,7,7,0,0,0,0,56,2.217,0.7215,7.5,0,1
0,NA,7,12,0,0,0,5,38,6.5189,0.6915,11,1,3
0,12,7,7,0,0,0,2,52,6.4923,0.7215,14,1,13
0,12,12,12,0,0,0,0,50,11.364,0.6615,7.5,1,3
0,16,12,12,0,0,0,0,33,9.8765,0.6615,7.5,1,8
0,16,7,7,0,0,0,2,NA,7.6576,0.6915,7.5,1,8
0,12,7,7,0,0,0,1,41,8.3017,0.6915,14,0,18
0,12,12,14,0,0,0,1,45,14.114,0.6215,11,1,2
0,14,7,7,0,0,0,0,53,16,NA,7.5,0,3
0,14,12,12,0,0,0,0,53,11.291,0.6915,14,NA,5
0,12,10,12,0,0,0,1,42,2.3395,0.7215,9.5,1,2
0,NA,17,12,0,0,2,0,32,7.7994,0.7215,7.5,1,10
0,12,7,7,0,0,0,0,56,6,0.7215,7.5,1,30
0,11,7,10,0,0,NA,3,37,6.6893,0.7515,11,1,1
0,12,7,12,0,0,1,2,40,8.5366,0.6915,14,1,5
0,15,7,0,0,0,NA,3,54,13.83,0.6215,7.5,1,8
0,7,7,7,0,0,0,0,53,1.48,0.7515,7.5,0,0
0,12,7,7,0,0,0,1,48,8.5714,0.6615,9.5,1,4
0,12,7,7,0,0,NA,2,36,8.2299,0.7215,9.5,1,2
0,12,7,7,0,0,0,0,57,8.3877,0.6915,7.5,1,NA
0,12,7,10,0,0,0,0,51,7.3651,NA,14,1,25
0,13,0,7,0,0,0,4,33,3.4415,0.7215,3,0,3
0,12,7,7,0,0,0,0,52,3.3537,0.7515,7.5,1,20
0,10,7,0,0,0,0,0,56,2.9762,0.7815,7.5,1,20
0,12,9,14,0,0,1,2,36,5.181,0.7515,7.5,1,0
0,NA,12,12,0,0,1,0,36,10.293,0.6915,7.5,0,15
0,12,7,10,0,0,0,1,46,13.243,0.5815,14,1,10
0,10,7,7,0,0,0,3,31,3.6458,0.9415,7.5,0,4
0,11,7,7,0,0,0,0,52,10.407,0.6615,11,1,3
0,12,7,7,0,0,0,2,46,8.2117,0.6915,7.5,1,10
0,12,3,7,NA,0,2,0,35,8.6735,0.7215,7.5,1,9
0,12,7,7,0,0,0,0,59,8.3208,NA,14,0,7
0,8,0,0,0,0,0,1,36,4.287,0.7515,14,0,12
0,7,3,3,0,NA,1,3,51,10.5,0.5215,14,0,0
0,16,12,12,0,0,NA,0,31,7.9787,0.6915,9,1,16
0,14,12,12,0,0,0,2,31,11.814,0.6215,14,1,4
0,12,12,12,0,NA,1,1,32,6.1111,0.7515,7.5,1,7
0,16,7,12,0,NA,1,2,35,12.578,0.6215,14,1,7
0,NA,10,7,0,0,0,3,40,11.244,0.7515,7.5,1,14
0,10,7,7,0,0,1,2,33,2.7408,0.7815,14,0,2
0,7,0,NA,0,0,0,0,54,4.4444,0.7515,3,1,20
0,12,12,12,0,0,1,1,36,5.8267,0.7215,7.5,1,5
NA,10,7,12,0,0,0,1,50,2.3478,0.7815,3,0,10
0,8,0,0,0,0,0,0,54,4.4755,0.7215,3,0,20
0,11,7,7,0,0,0,1,48,8.4986,0.7215,7.5,1,10
0,15,17,14,0,0,0,4,41,7.1825,0.7215,5,0,8
0,12,7,12,0,0,0,4,50,10.87,0.6615,NA,1,11
0,12,7,NA,0,0,0,2,46,7.1222,0.7215,7.5,1,3
0,13,12,12,0,0,0,1,42,10.6592,0.5815,7.5,0,6
0,9,3,3,0,0,1,2,31,3.2762,0.7915,14,0,4
0,12,10,10,0,0,0,0,53,7.7521,0.7215,14,0,4
0,12,3,3,0,0,0,1,51,11.945,0.6215,7.5,1,9
0,12,9,7,0,0,0,1,47,4.6154,0.7515,11,1,10
0,12,12,12,0,0,0,1,50,13.021,0.6215,14,1,3
0,6,7,7,0,0,0,1,37,2.6667,0.7515,7.5,0,2
0,12,12,12,0,0,2,2,30,8.8333,0.5815,11,0,2
0,12,16,16,0,0,0,0,49,2.3669,0.7915,NA,1,0
0,12,0,7,0,0,0,2,52,5,0.7515,14,1,8
0,12,7,10,0,0,0,2,47,7.4597,0.7215,14,1,6
0,12,7,7,0,0,0,0,49,7.7519,NA,11,1,15
0,12,NA,12,0,0,0,4,44,5.4054,0.7515,14,1,15
0,8,9,9,0,0,0,0,53,6.1239,0.6915,NA,1,9
0,12,12,7,0,0,1,0,30,8.3369,0.6915,14,NA,8
0,12,10,7,0,0,0,2,54,7.1277,0.7215,7.5,1,18
0,7,0,0,0,0,1,1,47,6.1204,0.6915,7.5,1,3
0,15,7,7,0,0,0,NA,56,3.1111,0.7515,14,1,10
0,12,7,7,0,0,0,1,49,12.161,0.5815,11,0,6
0,6,NA,7,0,0,0,0,48,5.3846,0.7515,9.5,1,20
0,12,12,10,0,0,0,1,49,3.9838,0.7515,9.5,0,8
0,12,16,12,0,0,0,1,NA,7.4697,0.7215,11,0,3
0,12,7,7,0,0,0,0,46,11.411,0.6615,7.5,1,4
0,12,12,12,0,0,0,2,45,12.936,0.5515,14,1,13
0,12,7,12,0,0,0,2,32,5.6122,0.7515,11,1,4
0,12,7,7,0,0,1,1,43,6.8099,0.7515,14,1,17
0,12,7,7,0,0,1,1,34,8.5066,0.7215,9.5,1,4
0,12,10,7,0,0,1,1,30,5.508,0.6615,NA,0,0
0,17,16,12,0,0,2,0,38,7.2285,0.6915,5,1,15
0,16,16,16,0,0,1,1,33,9.4545,0.6215,9.5,0,11
0,12,7,7,0,0,0,0,52,8.9835,0.6915,9.5,1,23
0,11,14,12,0,0,0,3,43,5.9846,0.7215,7.5,1,1
0,12,7,12,0,NA,1,1,33,3.9629,0.7515,9.5,0,5
0,10,7,7,0,0,0,0,45,7.0575,0.5815,7.5,0,1
0,10,10,10,0,0,2,1,NA,7.1565,0.7215,14,1,5
0,12,12,12,0,0,1,1,34,4.0145,NA,9.5,1,3
0,14,14,10,0,0,0,2,37,3.8829,0.7215,11,0,3
0,10,7,7,0,0,0,1,46,7.9787,0.7215,11,0,19
0,12,12,12,0,0,0,0,47,5.0366,0.7515,9.5,1,20
0,16,12,12,0,0,2,1,31,7.0769,0.6615,7.5,1,NA
0,5,7,7,0,0,NA,0,57,3.6184,0.7715,14,0,0
0,12,10,10,0,0,1,1,30,13.466,0.4915,5,1,3
0,12,10,12,0,0,0,0,30,14.531,0.7215,11,1,3
0,12,12,12,0,0,0,3,NA,6.8,0.7215,9.5,1,7
0,13,12,7,0,0,0,0,53,6.6667,0.6615,7.5,1,7
0,8,7,7,0,0,0,0,51,5.9172,0.7215,9.5,1,1
0,12,7,12,0,0,1,3,39,10.24,0.6615,5,1,13
0,8,3,7,0,0,0,0,52,8.1566,0.6915,3,0,0
0,8,3,3,0,0,0,4,46,6.6775,0.7215,11,1,0
0,12,7,NA,0,0,0,5,47,0.9615,0.9415,3,0,12
0,8,3,7,0,0,0,2,52,16.907,NA,7.5,1,0
0,12,14,10,0,0,0,2,45,13.57,0.6215,7.5,1,5
0,11,7,7,0,0,0,0,60,8.9329,0.6915,7.5,1,45
0,13,7,17,0,0,NA,2,41,4.7372,0.7215,11,0,10
0,8,7,7,0,0,0,3,39,8.5106,0.7215,7.5,1,2
0,12,7,7,0,0,0,1,49,5.2511,0.7515,7.5,0,3
0,15,12,12,0,0,1,1,32,21.786,0.4415,14,1,1
0,12,12,12,0,0,1,NA,33,7.9125,0.6615,14,1,5
0,10,9,7,0,0,0,4,36,7.1083,0.7515,14,0,10
0,13,0,7,0,0,3,3,37,5.0434,0.7715,5,0,4
0,12,12,12,0,0,NA,2,30,2.2442,0.7815,11,0,7
0,11,12,7,0,0,1,1,44,8.5069,0.7515,9.5,1,9
0,12,12,7,0,0,0,1,48,7.5758,0.6915,5,1,5
0,11,7,7,0,0,0,4,40,5.8824,0.7515,14,1,4
0,13,9,9,0,0,0,NA,47,40.441,0.4415,5,1,11
0,12,7,12,0,0,0,2,36,6.2339,0.7215,5,1,9
0,11,12,7,0,0,0,2,40,9.2971,0.6915,5,1,4
0,12,7,12,0,0,0,1,46,0.7038,0.9415,7.5,1,2
0,12,12,3,0,0,0,0,52,2.5425,0.6915,7.5,0,23
0,12,12,12,0,0,0,1,44,5.0833,0.7515,11,0,NA
0,10,NA,7,0,0,0,1,45,7.6843,0.7215,7.5,1,15
0,7,3,7,0,0,2,1,30,4.0625,0.7815,7.5,0,8
0,12,12,12,0,0,1,3,40,6.5106,0.6615,14,1,3
0,12,12,7,0,0,0,1,43,2.951,0.7215,7.5,0,25
0,12,3,12,0,0,0,2,49,5.6738,0.7515,11,1,2
NA,12,12,12,0,0,1,4,46,12.766,0.6615,11,1,0
0,11,7,7,0,0,0,0,52,6,0.7515,11,0,19
0,12,10,7,0,0,1,1,31,9.2955,0.6915,9.5,1,3
0,10,7,7,0,0,1,1,42,5.1324,0.7515,5,0,7
0,11,14,7,0,0,0,3,33,9.0659,0.6915,7.5,1,1
NA,16,12,7,0,0,0,0,57,11.931,0.4415,14,1,9
0,10,10,10,0,0,0,0,49,6.7164,0.6915,11,1,3
0,14,NA,14,0,0,0,1,45,4.5851,0.6915,11,1,8
0,11,7,NA,0,0,0,0,56,9.2567,0.6915,14,1,0
0,12,10,10,0,0,1,3,41,8.5656,0.6215,7.5,1,5
0,5,3,3,NA,0,0,0,56,6.7407,0.7515,14,1,20
0,10,7,7,0,0,0,1,48,9.8788,0.6915,5,1,3
0,16,10,NA,0,0,0,2,52,9.375,0.6615,7.5,1,12
0,12,7,7,0,0,0,0,51,6.277,0.7215,14,1,5
0,11,7,7,NA,0,0,3,35,6.4241,0.7515,7.5,0,1
0,12,7,7,0,0,0,0,45,8.3718,0.6615,5,0,0
0,12,7,7,0,0,0,0,54,12.22,0.5815,9.5,1,7
0,12,10,10,0,0,0,2,54,3.5612,0.7215,9.5,1,13
0,12,7,7,0,0,1,0,31,8.867,0.7515,3,0,3
0,6,7,7,0,0,0,3,53,1.8515,0.9415,NA,0,0
0,14,14,16,0,0,2,2,35,8.0769,0.5515,NA,0,2
0,12,16,12,0,0,NA,3,36,8.9796,0.6615,7.5,0,0
0,12,7,7,0,0,0,0,NA,6.6618,0.6615,11,1,2
0,16,17,16,0,0,0,0,54,11.107,0.5815,5,1,1
0,12,7,7,0,0,1,1,37,14.077,0.5515,9,1,10
0,12,7,7,0,0,0,0,44,0.4121,0.9415,7.5,1,10
0,17,12,12,0,0,1,2,34,23.81,0.4415,NA,1,1
0,12,7,7,0,0,0,0,49,9.5745,NA,11,0,3
0,12,7,7,0,0,0,0,49,1.9286,0.7215,3,0,32
0,9,7,7,0,0,0,0,60,2.5783,0.7215,3,0,0
0,12,7,7,0,0,0,0,NA,7.2274,0.7215,7.5,1,7
0,12,10,12,NA,0,1,1,30,8.8,0.6615,5,1,5
0,12,7,7,0,0,0,2,47,7.75,0.6615,11,1,NA
0,12,12,12,0,0,0,4,NA,14.688,0.6615,7.5,1,5
0,12,7,7,0,0,1,3,35,10.487,0.6615,9.5,1,3
0,12,9,12,0,0,0,0,58,4.0253,0.7215,11,0,25
0,14,12,14,0,0,1,3,41,11.765,0.6215,7.5,0,0
0,10,NA,7,0,0,0,1,51,9.5238,0.7515,14,1,3
0,12,7,7,0,0,0,0,47,6.9079,0.7215,11,0,10
0,9,3,NA,0,0,1,2,45,5.151,0.7515,11,0,10
0,14,14,16,0,0,0,0,NA,20.496,0.4415,14,1,7
0,16,12,12,0,0,1,NA,30,13.555,0.6615,9.5,1,5
0,11,3,7,0,0,0,0,55,14.796,0.5815,5,1,15
0,12,7,10,0,0,1,2,32,1.6905,0.7815,3,0,1
0,12,7,7,0,0,0,2,36,7.2296,0.5215,3,0,5
0,12,3,3,0,0,0,0,55,4.1152,0.7515,14,0,9
0,12,3,3,0,0,0,0,47,2.999,0.7715,14,0,18
0,12,7,7,0,0,0,1,47,8.0492,0.6915,14,1,1
0,11,7,12,0,0,0,1,37,8.577,0.6215,3,0,0
0,12,12,10,0,0,0,2,50,9.3235,0.5815,3,0,6
0,12,7,3,0,0,0,3,30,4.7059,0.7515,14,0,1
0,17,17,16,0,0,0,1,48,9.1346,0.6615,3,0,2
0,NA,10,10,0,0,0,2,43,7.767,0.7215,5,1,15
0,11,7,7,0,NA,1,0,48,4.1269,0.7515,3,0,25
0,NA,7,17,0,0,1,2,41,10,0.6615,14,1,1
NA,12,10,7,0,0,0,0,50,4.0727,0.7515,7.5,1,0
0,8,3,3,0,0,0,0,58,7.8529,0.5815,7.5,0,0
0,13,16,NA,0,0,0,5,38,7.8168,0.6615,7.5,1,0
0,NA,12,7,0,0,0,1,37,9.1667,0.6615,5,0,8
0,16,7,12,0,0,0,0,50,29.644,NA,9.5,1,22
0,8,3,3,0,0,0,4,42,4.0761,0.7915,7.5,1,5
0,9,10,10,0,0,1,3,37,8.362,0.7215,9.5,1,10
0,16,17,16,0,0,0,2,NA,12.062,0.4415,9,1,1
0,12,7,10,0,0,0,2,31,2.3251,0.7515,3,0,1
0,12,7,7,0,NA,0,0,51,10.01,0.6615,5,1,6
0,12,7,7,0,0,1,2,36,5.2734,0.7515,5,0,4
0,15,16,14,0,0,0,0,54,10.417,0.6915,14,0,6
NA,12,7,7,0,0,0,0,49,7.5,0.7215,14,1,0
0,9,12,10,0,0,1,1,48,6.3521,0.7215,5,0,1
0,9,14,NA,0,0,0,2,42,3.8071,0.7215,9.5,0,3
0,12,16,3,0,0,1,2,41,9.9099,NA,9.5,1,15
0,16,12,12,NA,0,0,0,55,2.6701,0.7215,7.5,0,33
0,9,7,7,0,0,0,0,42,4.3956,0.7515,5,1,2
0,15,12,12,0,0,0,1,32,7.971,0.6615,7.5,1,1
0,12,7,7,0,0,0,2,43,15.429,0.5815,7.5,1,10
0,12,7,7,0,0,1,3,33,1.9854,0.7215,5,1,0
0,15,14,10,0,NA,0,1,48,7.2562,0.7215,9.5,1,14
0,12,16,3,0,0,0,2,43,7.0352,0.7215,7.5,NA,15
0,17,12,14,0,0,NA,3,47,8.1347,0.6915,7.5,1,15
0,12,12,12,0,0,0,0,54,11.981,0.5515,7.5,1,10
0,12,3,7,0,0,0,1,51,5.9922,0.6615,7.5,1,6
0,10,7,14,0,0,0,1,51,4.1458,0.7515,7.5,0,18
0,13,10,12,0,0,1,1,43,8.5102,0.6215,NA,0,15
0,12,3,0,0,0,0,0,53,2.9631,0.7515,3,NA,30
0,11,7,7,0,0,1,1,34,8.8149,0.6215,7.5,0,15
0,8,7,7,0,0,1,1,31,2.4955,0.7815,7.5,0,10
0,12,7,10,0,0,0,0,NA,4.8843,0.7515,7.5,1,0
0,16,7,12,0,0,0,NA,42,10.2,0.6615,9.5,1,0
0,12,14,12,0,0,0,2,32,10,0.6615,9.5,1,NA
0,12,12,12,0,0,NA,3,35,5.3571,0.8015,9.5,1,0
0,12,14,14,0,0,1,1,30,9.7959,0.6615,9.5,1,3
0,10,7,7,0,0,0,0,51,1.3741,0.7715,7.5,0,20
0,12,7,7,0,0,0,NA,47,3.463,0.7215,3,0,3
0,12,7,3,0,0,0,1,54,5.0408,0.7215,3,0,1
0,15,10,7,0,0,3,0,31,16.667,0.4415,7.5,1,5
0,10,7,7,0,0,0,0,47,4.3294,0.7515,5,1,NA
0,14,7,7,0,0,0,3,47,10.193,0.6915,11,1,6
0,12,7,7,0,0,0,3,40,7.5833,0.7215,7.5,1,2
0,8,3,3,0,0,0,0,48,4.1204,0.7515,7.5,0,0
0,NA,7,3,0,0,0,7,34,4.8077,0.9415,11,1,10
0,12,10,7,0,0,0,3,38,3.1531,0.7515,9.5,1,6
0,12,10,7,0,NA,1,3,32,19,0.4615,7.5,1,4
0,16,7,12,0,0,0,1,48,6.0535,0.6215,7.5,1,8
0,12,7,7,0,0,0,2,41,3.7875,0.7715,7.5,0,18
0,5,0,0,0,0,0,2,49,2.9287,0.7815,7.5,0,7
0,8,7,3,0,0,0,0,59,9.2972,0.6915,11,1,15
0,13,7,7,0,0,0,0,58,9.3827,0.6615,11,1,7
0,12,14,7,0,0,0,3,41,26.531,0.4415,14,1,8
0,12,10,10,0,NA,0,2,45,40.509,0.4415,14,1,8
0,14,10,12,0,0,1,1,30,15.16,0.6215,11,0,3
0,12,7,7,0,0,0,1,41,18.964,0.4415,7.5,1,10
0,12,10,10,0,0,2,0,NA,5.4152,0.7515,7.5,0,9
NA,12,7,12,0,0,0,1,53,1.9988,0.7515,7.5,1,24
0,12,7,10,0,0,0,0,31,8,0.6915,7.5,0,12
0,14,12,12,NA,0,0,2,43,11.153,0.6615,11,1,2
0,12,14,12,0,0,1,1,31,5.9524,NA,14,1,6
0,12,3,10,0,0,0,0,51,2.1194,0.7515,7.5,1,18
0,9,7,7,0,0,0,0,43,3.8384,0.7715,5,1,17
0,14,16,16,0,0,1,2,31,17.361,0.4915,5,1,7
0,11,10,7,0,0,0,0,48,8.0092,0.6915,9.5,1,6
0,12,7,12,0,0,1,1,31,3,0.8015,9.5,1,10
0,12,7,7,0,0,0,1,44,10.589,0.5815,7.5,1,5
0,11,7,10,0,0,0,1,NA,10.913,0.7215,7.5,1,7
0,12,0,0,0,0,0,1,53,5.6033,0.7215,7.5,1,11
0,10,3,3,0,0,0,3,42,7.9365,0.6615,11,1,NA
0,12,0,7,0,0,2,6,NA,2.9476,0.9415,9.5,1,5
0,10,3,7,0,0,1,2,32,2.0562,0.7915,7.5,0,2
0,12,12,7,0,0,0,2,36,1.3013,0.7915,14,0,4
0,13,10,NA,0,0,0,2,40,9.2715,0.6215,9.5,1,5
0,12,12,12,0,0,2,3,31,4.8638,0.7715,NA,0,14
0,12,3,10,0,0,0,0,43,1.0898,0.7515,7.5,0,4
0,12,12,12,NA,0,0,0,60,12.44,0.6215,14,1,15
0,9,7,7,0,0,0,3,39,6.0897,0.6915,11,1,12
